blk_read_time,blk_write_time,calls,local_blks_dirtied,local_blks_hit,local_blks_read,local_blks_written,max_time,mean_time,min_time,query,queryid,rows,shared_blks_dirtied,shared_blks_hit,shared_blks_read,shared_blks_written,stddev_time,temp_blks_read,temp_blks_written,total_time
0.0,0.0,150,0,0,0,0,0.119,0.03816,0.007,<insufficient privilege>,,40,0,1040,0,0,0.023455228272889,0,0,5.724
0.0,0.0,22308,0,0,0,0,3.356,0.00567303209610897,0.004,<insufficient privilege>,,0,0,22308,0,0,0.0393840969927533,0,0,126.553999999997
0.0,0.0,13,0,0,0,0,0.029,0.0226153846153846,0.018,<insufficient privilege>,,13,0,39,0,0,0.00289664159750196,0,0,0.294
0.0,0.0,856,0,0,0,0,34.299,0.0650303738317757,0.015,<insufficient privilege>,,856,0,854,2,0,1.17080479809644,0,0,55.6660000000001
0.0,0.0,16,0,0,0,0,0.09,0.066625,0.043,<insufficient privilege>,,16,0,124,0,0,0.013751704439814,0,0,1.066
0.0,0.0,886,0,0,0,0,0.066,0.0128058690744921,0.008,<insufficient privilege>,,886,0,886,0,0,0.00488405170317554,0,0,11.3459999999999
0.0,0.0,5734,0,0,0,0,7.66,0.0773904778514125,0.063,<insufficient privilege>,,5734,0,57340,0,0,0.118602088114893,0,0,443.756999999995
0.0,0.0,7,0,0,0,0,39.706,21.4547142857143,11.007,<insufficient privilege>,,5719,115,51821,98,0,9.41272358815124,0,0,150.183
0.0,0.0,4587,0,0,0,0,13.914,3.85173424896446,2.721,<insufficient privilege>,,57287,0,13764,0,0,0.682209807701653,0,0,17667.905
0.0,0.0,41,0,0,0,0,0.517,0.0692439024390244,0.033,<insufficient privilege>,,41,13,306,2,0,0.0775024092427423,0,0,2.839
0.0,0.0,1030,0,0,0,0,0.092,0.00548640776699029,0.004,<insufficient privilege>,,0,0,1030,0,0,0.00442579702752755,0,0,5.65099999999991
0.0,0.0,10,0,0,0,0,0.018,0.0137,0.01,<insufficient privilege>,,10,0,0,0,0,0.00241039415863879,0,0,0.137
0.0,0.0,194636,0,0,0,0,60.941,0.288483615569581,0.107,<insufficient privilege>,,241814,24,9694378,41,0,0.230540234609233,0,0,56149.2970000002
0.0,0.0,111,0,0,0,0,8.146,0.126189189189189,0.036,<insufficient privilege>,,333,0,994,5,0,0.764720151528254,0,0,14.007
0.0,0.0,7,0,0,0,0,0.2,0.165142857142857,0.14,<insufficient privilege>,,98,0,56,0,0,0.0230057668014446,0,0,1.156
0.0,0.0,861,0,0,0,0,11.523,0.723009291521488,0.433,<insufficient privilege>,,861,0,16397,1,0,1.39899446049453,0,0,622.511
0.0,0.0,6,0,0,0,0,0.125,0.101,0.084,<insufficient privilege>,,18,0,66,0,0,0.0134412301024373,0,0,0.606
0.0,0.0,196,0,0,0,0,0.277,0.158765306122449,0.116,<insufficient privilege>,,196,0,1764,0,0,0.0256583920394312,0,0,31.118
0.0,0.0,57,0,0,0,0,0.279,0.0344385964912281,0.014,<insufficient privilege>,,57,0,161,0,0,0.0343736014293403,0,0,1.963
0.0,0.0,58,0,0,0,0,1.824,0.0417068965517241,0.008,<insufficient privilege>,,1,0,240,0,0,0.236074506694514,0,0,2.419
0.0,0.0,10,0,0,0,0,0.011,0.0023,0.001,<insufficient privilege>,,0,0,0,0,0,0.00293428015022424,0,0,0.023
0.0,0.0,472,0,0,0,0,3.28,0.492555084745763,0.359,<insufficient privilege>,,87005,6,14008,0,0,0.190908014098483,0,0,232.486
0.0,0.0,149,0,0,0,0,7820.436,222.052395973154,0.209,<insufficient privilege>,,21531,1,76897,0,0,957.933116080552,0,0,33085.807
0.0,0.0,22200,0,0,0,0,5.219,0.0120127027027026,0.006,<insufficient privilege>,,0,0,89600,0,0,0.0433934931072245,0,0,266.681999999996
0.0,0.0,7,0,0,0,0,0.223,0.133714285714286,0.098,<insufficient privilege>,,28,3,49,0,0,0.0388539914688469,0,0,0.936
0.0,0.0,140,0,0,0,0,29.298,23.0331142857143,11.608,<insufficient privilege>,,700,1,330369,0,0,2.30373511338718,0,0,3224.636
0.0,0.0,2062893,0,0,0,0,21.181,0.00788292170267687,0.003,<insufficient privilege>,,0,0,2062891,2,0,0.0271370199836279,0,0,16261.6239996007
0.0,0.0,172,0,0,0,0,0.07,0.0356279069767442,0.027,<insufficient privilege>,,602,0,2838,0,0,0.00593187391786046,0,0,6.12799999999999
0.0,0.0,218,0,0,0,0,0.066,0.00407339449541284,0.0,<insufficient privilege>,,0,0,0,0,0,0.00649305404742037,0,0,0.888000000000001
0.0,0.0,23097,0,0,0,0,35.984,0.104027016495648,0.031,<insufficient privilege>,,23097,0,253809,0,0,0.245564532120374,0,0,2402.71200000001
0.0,0.0,26,0,0,0,0,0.043,0.0227692307692308,0.009,<insufficient privilege>,,20,3,46,0,0,0.00738661831811518,0,0,0.592
0.0,0.0,2744,0,0,0,0,56.742,0.0712653061224489,0.021,<insufficient privilege>,,2744,162,22811,65,0,1.2786852760933,0,0,195.552
0.0,0.0,556,0,0,0,0,0.126,0.0278453237410072,0.011,<insufficient privilege>,,0,0,143,0,0,0.0168037068667463,0,0,15.482
0.0,0.0,10252,0,0,0,0,16.638,2.9729635193133,0.231,<insufficient privilege>,,10252,0,30756,0,0,4.47133236429735,0,0,30478.822
0.0,0.0,8296,0,0,0,0,21.176,0.0549217695274834,0.009,<insufficient privilege>,,25160,0,109960,64,0,0.336739562294691,0,0,455.631000000012
0.0,0.0,2,0,0,0,0,0.003,0.0025,0.002,<insufficient privilege>,,0,0,0,0,0,0.0005,0,0,0.005
0.0,0.0,88,0,0,0,0,0.02,0.00695454545454545,0.004,<insufficient privilege>,,0,0,0,0,0,0.00351913306379017,0,0,0.612
0.0,0.0,2,0,0,0,0,0.004,0.004,0.004,<insufficient privilege>,,0,0,0,0,0,0.0,0,0,0.008
0.0,0.0,13,0,0,0,0,0.242,0.157153846153846,0.071,<insufficient privilege>,,8,0,261,0,0,0.0629540078199293,0,0,2.043
0.0,0.0,12202,0,0,0,0,0.993,0.0170726930011473,0.007,<insufficient privilege>,,12202,66,12202,0,0,0.0146922216472073,0,0,208.320999999997
0.0,0.0,8296,0,0,0,0,28.747,0.0723525795564125,0.01,<insufficient privilege>,,24208,0,193263,61,0,0.432225366356695,0,0,600.236999999987
0.0,0.0,36,0,0,0,0,0.417,0.190916666666667,0.14,<insufficient privilege>,,223,1,771,0,0,0.0507255003808626,0,0,6.873
0.0,0.0,114,0,0,0,0,0.034,0.0159298245614035,0.013,<insufficient privilege>,,114,0,228,0,0,0.00292214562555335,0,0,1.816
0.0,0.0,24895,0,0,0,0,90.095,0.247745049206668,0.056,<insufficient privilege>,,24895,14650,456264,166,0,1.33158348891177,0,0,6167.61300000001
0.0,0.0,345,0,0,0,0,0.062,0.00696231884057971,0.004,<insufficient privilege>,,0,0,0,0,0,0.0048563450635845,0,0,2.40199999999999
0.0,0.0,279,0,0,0,0,293.756,23.8555878136201,0.087,<insufficient privilege>,,2852,0,75322,0,0,79.2533091968009,0,0,6655.709
0.0,0.0,62,0,0,0,0,6.194,1.61248387096774,1.02,<insufficient privilege>,,295,0,15928,0,0,0.659196718935997,0,0,99.974
0.0,0.0,30,0,0,0,0,0.429,0.288233333333333,0.203,<insufficient privilege>,,30,0,971,0,0,0.0532407634138438,0,0,8.647
0.0,0.0,1442,0,0,0,0,36.854,0.225502773925104,0.094,<insufficient privilege>,,2678,0,126472,12,0,1.01556794318173,0,0,325.175
0.0,0.0,1456,0,0,0,0,0.521,0.0969436813186813,0.04,<insufficient privilege>,,1456,0,15826,0,0,0.0356998455327649,0,0,141.15
0.0,0.0,335,0,0,0,0,125.286,1.32386567164179,0.01,<insufficient privilege>,,335,0,1265,16,0,10.7309358492103,0,0,443.495
0.0,0.0,2043,0,0,0,0,3.383,0.152215369554577,0.007,<insufficient privilege>,,50377,2,34523,0,0,0.14843541214863,0,0,310.976
0.0,0.0,2,0,0,0,0,0.016,0.011,0.006,<insufficient privilege>,,0,0,0,0,0,0.005,0,0,0.022
0.0,0.0,1150,0,0,0,0,0.66,0.0505617391304348,0.034,<insufficient privilege>,,67850,0,1150,0,0,0.0294256781758019,0,0,58.1459999999998
0.0,0.0,13,0,0,0,0,0.22,0.131846153846154,0.072,<insufficient privilege>,,8,0,232,0,0,0.0402546627090886,0,0,1.714
0.0,0.0,12843,0,0,0,0,170.151,0.0237354979366192,0.005,<insufficient privilege>,,25686,0,12839,4,0,1.50200646649932,0,0,304.834999999999
0.0,0.0,17,0,0,0,0,6.923,3.92205882352941,2.996,<insufficient privilege>,,13889,403,57346,309,0,0.845944753486631,0,0,66.675
